CustomerID,FirstName,LastName,Address,City,Country,Email,PhoneNumber,AccountID,AccountType,Balance,CardID,CardType,ExpiryDate,LoanID,LoanType,LoanAmount,InterestRate,LoanTerm,
500000016,Harper,Moore,444 Lemon St,Athlone,Ireland,harper.moore@email.com,+353999888777,600000016,Checking,7100.30,16,Credit,2023-02-28,16,Personal Loan,6000.00,5.00,24,
500000017,Liam,Martinez,555 Lime St,Athlone,Ireland,liam.martinez@email.com,+353222333444,600000017,Savings,11200.60,17,Debit,2023-01-31,17,Car Loan,22000.00,4.10,48,
500000018,Aria,White,666 Blueberry St,Athlone,Ireland,aria.white@email.com,+353777666555,600000018,Checking,11900.40,18,Credit,2024-06-30,18,Home Loan,110000.00,3.20,180,
500000019,Noah,Hall,777 Raspberry St,Athlone,Ireland,noah.hall@email.com,+353444555666,600000019,Savings,2150.75,19,Debit,2023-12-31,19,Personal Loan,3500.00,6.75,18,
500000020,Aiden,Morris,888 Strawberry St,Athlone,Ireland,aiden.morris@email.com,+353666777888,600000020,Checking,15000.20,20,Credit,2023-11-30,20,Car Loan,18000.00,3.70,60,
500000021,Isabella,Sanchez,999 Kiwi St,Athlone,Ireland,isabella.sanchez@email.com,+353333444555,600000021,Savings,1800.80,21,Debit,2024-07-31,21,Home Loan,130000.00,3.10,300,
500000022,Mason,Baker,101 Peach St,Athlone,Ireland,mason.baker@email.com,+353888999000,600000022,Checking,11300.10,22,Credit,2023-10-31,22,Personal Loan,5500.00,5.25,24,
500000023,Ella,Garcia,202 Watermelon St,Athlone,Ireland,ella.garcia@email.com,+353123456789,600000023,Savings,13200.45,23,Debit,2023-09-30,23,Car Loan,20000.00,3.60,72,
500000024,Carter,King,303 Mango St,Athlone,Ireland,carter.king@email.com,+353987654321,600000024,Checking,11500.30,24,Credit,2024-08-31,24,Home Loan,160000.00,2.90,360,
500000025,Scarlett,Fisher,404 Papaya St,Athlone,Ireland,scarlett.fisher@email.com,+353111223344,600000025,Savings,11800.25,25,Debit,2023-08-31,25,Personal Loan,3200.00,7.00,12,
500000026,Grayson,Lopez,505 Cherry St,Athlone,Ireland,grayson.lopez@email.com,+353555667788,600000026,Checking,1600.50,26,Credit,2023-07-31,26,Car Loan,16000.00,4.80,36,
500000027,Luna,Ward,606 Grapefruit St,Athlone,Ireland,luna.ward@email.com,+353999888777,600000027,Savings,12700.75,27,Debit,2024-09-30,27,Home Loan,100000.00,3.00,240,
500000028,Jackson,Cooper,707 Lime St,Athlone,Ireland,jackson.cooper@email.com,+353222333444,600000028,Checking,11000.30,28,Credit,2023-06-30,28,Personal Loan,4800.00,6.00,24,
500000029,Penelope,Morgan,808 Dragonfruit St,Athlone,Ireland,penelope.morgan@email.com,+353777666555,600000029,Savings,11200.60,29,Debit,2023-05-31,29,Car Loan,23000.00,4.30,60,
500000030,Levi,Ferguson,909 Persimmon St,Athlone,Ireland,levi.ferguson@email.com,+353444555666,600000030,Checking,12000.40,30,Credit,2024-10-31,30,Home Loan,140000.00,3.50,300,
500000031,Hazel,Wells,111 Nectarine St,Athlone,Ireland,hazel.wells@email.com,+353666777888,600000031,Savings,400.75,31,Debit,2023-04-30,31,Personal Loan,4000.00,6.50,18,
500000032,Lucy,Harrison,222 Plum St,Athlone,Ireland,lucy.harrison@email.com,+353333444555,600000032,Checking,1800.20,32,Credit,2023-03-31,32,Car Loan,19000.00,3.90,48,
500000033,Wyatt,Knight,333 Avocado St,Athlone,Ireland,wyatt.knight@email.com,+353888999000,600000033,Savings,11500.80,33,Debit,2024-11-30,33,Home Loan,120000.00,3.20,240,
500000034,Stella,Sharp,444 Tangerine St,Athlone,Ireland,stella.sharp@email.com,+353123456789,600000034,Checking,1900.10,34,Credit,2023-02-28,34,Personal Loan,2800.00,7.20,12,
500000035,Liam,Perry,555 Mango St,Athlone,Ireland,liam.perry@email.com,+353987654321,600000035,Savings,12200.45,35,Debit,2023-01-31,35,Car Loan,21000.00,4.00,72,
500000036,Ava,McCarthy,666 Raspberry St,Athlone,Ireland,ava.mccarthy@email.com,+353111223344,600000036,Checking,11100.30,36,Credit,2024-12-31,36,Home Loan,170000.00,2.80,360,
500000037,Mason,Doyle,777 Kiwi St,Athlone,Ireland,mason.doyle@email.com,+353555667788,600000037,Savings,11700.25,37,Debit,2023-12-31,37,Personal Loan,4200.00,6.20,24,
500000038,Sophia,O'Brien,888 Blackberry St,Athlone,Ireland,sophia.obrien@email.com,+353999888777,600000038,Checking,1600.50,38,Credit,2023-11-30,38,Car Loan,15000.00,4.50,60,
500000039,Noah,Flynn,999 Cranberry St,Athlone,Ireland,noah.flynn@email.com,+353222333444,600000039,Savings,12500.75,39,Debit,2025-01-31,39,Home Loan,110000.00,3.10,300,
500000040,Olivia,Kelly,101 Pomegranate St,Athlone,Ireland,olivia.kelly@email.com,+353777666555,600000040,Checking,1700.30,40,Credit,2023-10-31,40,Personal Loan,3200.00,6.80,18,
500000041,Ethan,O'Neill,202 Guava St,Athlone,Ireland,ethan.oneill@email.com,+353444555666,600000041,Savings,11400.60,41,Debit,2023-09-30,41,Car Loan,18000.00,4.20,48,
500000043,Liam,Hayes,404 Banana St,Athlone,Ireland,liam.hayes@email.com,+353333444555,600000043,Savings,11800.75,43,Debit,2023-08-31,43,Personal Loan,4500.00,6.00,24,
500000044,Emma,Brennan,505 Blueberry St,Athlone,Ireland,emma.brennan@email.com,+353888999000,600000044,Checking,1900.20,44,Credit,2023-07-31,44,Car Loan,20000.00,3.70,60,
500000045,Lucas,TVS,Athlone,Athlone,Ireland,Lucas@email.com,+353899798456,600000045,Savings,11250.80,45,Debit,2025-03-31,45,Home Loan,160000.00,2.90,360,
500000046,Ava,Duffy,707 Orange St,Athlone,Ireland,ava.duffy@email.com,+353987654321,600000046,Checking,11300.10,46,Credit,2023-06-30,46,Personal Loan,2800.00,7.20,12,
500000047,Liam,Gallagher,808 Lemon St,Athlone,Ireland,liam.gallagher@email.com,+353111223344,600000047,Savings,12000.45,47,Debit,2023-05-31,47,Car Loan,21000.00,4.00,72,
500000048,Olivia,Walsh,909 Lime St,Athlone,Ireland,olivia.walsh@email.com,+353555667788,600000048,Checking,1700.30,48,Credit,2025-04-30,48,Home Loan,170000.00,2.80,360,
500000049,Ethan,O'Sullivan,111 Grape St,Athlone,Ireland,ethan.osullivan@email.com,+353999888777,600000049,Savings,1900.25,49,Debit,2023-04-30,49,Personal Loan,4200.00,6.20,24,
500000050,Mia,O'Connor,222 Strawberry St,Athlone,Ireland,mia.oconnor@email.com,+353222333444,600000050,Checking,11500.50,50,Credit,2023-03-31,50,Car Loan,15000.00,4.50,60,
